sex,age,year_class,field_of_study,objective,price,store,motivation,parent_income,class
2,2,3,1,1,4,4,4,2,Asus
1,2,3,1,1,2,2,4,5,Acer
1,2,3,1,2,3,1,1,4,Acer
1,2,2,1,1,3,3,1,2,Lenovo
1,2,4,1,1,5,2,4,1,Acer
1,2,4,3,1,3,2,1,2,Acer
1,1,2,3,1,2,4,4,1,Acer
1,1,2,3,1,1,1,4,1,Lenovo
2,2,2,3,1,2,1,4,2,Asus
1,2,2,3,1,2,1,3,2,Acer
1,2,4,3,1,1,4,4,2,Acer
1,2,4,3,1,4,4,4,4,HP
1,2,2,3,1,3,2,2,5,Acer
1,2,4,3,1,2,2,4,2,Asus
1,2,4,3,1,3,4,4,1,Asus
1,2,2,4,1,3,3,1,3,Acer
1,1,2,4,1,4,3,2,5,Mac
2,2,2,4,1,1,1,4,1,Asus
2,1,2,4,1,3,2,1,1,Asus
1,2,2,4,4,2,4,4,1,Asus
1,2,2,4,1,2,1,4,1,Acer
2,2,2,4,1,1,2,3,1,HP
2,1,2,4,2,3,3,4,5,Asus
2,2,2,4,1,5,4,4,1,Acer
2,2,2,4,1,1,3,4,2,Asus
1,2,2,4,2,2,4,4,4,Dell
1,2,2,4,1,1,3,4,2,Lenovo
1,2,2,4,1,1,1,4,1,Lenovo
2,2,2,4,1,2,2,4,4,Dell
1,2,2,1,1,1,1,4,2,Acer
2,1,2,1,2,2,2,4,1,Acer
1,2,2,1,1,1,4,4,1,Acer
1,2,2,1,1,2,3,4,2,Asus
1,2,2,3,1,2,4,4,2,Acer
1,2,1,1,5,5,2,4,5,Asus
2,1,2,4,5,3,4,4,5,Asus
2,2,2,4,2,3,4,3,3,Asus
1,2,2,1,1,2,2,1,2,HP
2,2,2,4,2,1,4,4,2,HP
2,2,2,4,1,4,3,4,5,Asus
2,2,2,4,5,2,2,3,2,Acer
2,2,2,4,2,3,2,4,3,Asus
1,2,2,4,1,2,3,4,5,Acer
1,2,2,4,1,3,4,4,2,Asus
1,2,2,4,1,1,1,1,1,HP
1,2,2,4,1,2,3,1,3,Acer
2,2,2,4,2,2,4,4,3,Asus
2,1,2,4,1,4,3,4,4,Mac
2,2,2,4,2,4,4,4,3,Asus
1,2,2,4,1,1,3,4,1,Acer
1,2,2,4,1,2,2,1,2,Asus
1,2,2,4,1,2,2,1,1,Asus
1,2,2,4,5,4,4,1,5,Acer
1,2,2,4,1,2,3,4,2,Acer
1,2,2,4,3,2,2,1,2,HP
1,2,2,4,1,2,2,4,2,Asus
1,2,2,4,1,1,2,4,1,Asus
1,2,2,4,1,4,2,1,1,Asus
1,2,2,4,1,2,2,2,1,Acer
1,2,2,4,1,2,4,4,2,Acer
2,2,2,4,1,5,2,4,3,Asus
1,2,3,4,1,3,2,4,2,HP
2,2,2,4,2,4,4,4,2,Asus
2,2,2,3,2,3,4,1,2,Acer
2,2,4,3,2,1,1,4,1,HP
1,1,2,1,1,2,3,4,2,Asus
1,2,2,1,1,2,3,4,1,Acer
2,2,2,4,1,1,2,4,4,HP
1,1,2,1,1,4,3,1,4,HP
2,1,2,1,1,3,4,1,3,HP
2,1,1,1,1,1,1,1,2,Lenovo
1,1,1,1,1,2,2,1,2,Acer
2,2,3,4,1,4,4,4,1,Lenovo
2,3,3,4,1,1,3,4,4,Dell
2,2,3,4,2,2,4,4,2,Asus
1,2,3,4,1,2,3,3,2,HP
2,2,3,4,1,3,4,1,3,Asus
2,2,3,4,1,1,4,4,1,Lenovo
1,2,3,4,2,3,2,1,4,Asus
1,2,3,4,1,2,3,1,1,HP
1,2,3,4,1,1,3,4,1,Acer
1,2,3,4,1,5,2,4,2,HP
1,2,3,4,1,3,2,4,5,Acer
1,2,3,4,1,3,4,1,3,Asus
1,2,3,4,1,4,2,4,5,Asus
2,2,3,4,1,2,3,1,2,Acer
1,2,3,4,1,2,3,4,1,Lenovo
2,2,3,4,1,1,4,4,5,Lenovo
2,2,3,4,5,5,4,4,4,Lenovo
1,2,3,4,1,4,3,4,4,Acer
1,2,3,4,1,3,2,4,4,Mac
2,2,3,4,1,4,2,4,2,Asus
2,2,3,4,5,5,3,4,2,Asus
2,2,3,4,1,3,4,3,2,Asus
2,2,3,4,1,3,4,3,1,Asus
2,2,3,4,1,2,3,1,5,Asus
2,2,3,4,1,4,2,2,3,Asus
1,2,3,4,1,4,4,3,4,Asus
2,2,3,4,2,5,4,1,3,Asus
1,1,3,4,1,2,2,4,3,Acer
1,2,2,3,1,2,2,4,2,Acer
